year_page,report_id,doc_title,description,published_date,date_uploaded,filename,download_url,report_month
2021,3231,November 2021 Market Operations Highlights,Media Briefing for November 2021,24 January 2022 11:28,12 July 2024 04:08,NOVEMBER_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/NOVEMBER_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-11-01
2021,3230,December 2021 Market Operations Highlights,Media Briefing for December 2021,24 January 2022 11:28,12 July 2024 04:08,DECEMBER_2021_MARKET OPERATIONS HIGHLIGHTS.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2021-market-operations-highlights/DECEMBER_2021_MARKET%20OPERATIONS%20HIGHLIGHTS.pdf,2021-12-01
2022,3258,January 2022 Market Operations Highlights,Monthly Media Briefing for January 2022,28 January 2022 09:15,12 July 2024 04:08,January 2022 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/January%202022%20Market%20Operations%20Highlights.pdf,2022-01-01
2022,3344,February 2022 Market Operations Highlights,Monthly Media Briefing for February 2022,28 February 2022 10:38,12 July 2024 04:08,MO Updates for Media_02282022_v2.pptx,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_02282022_v2.pptx,2022-02-01
2022,3442,March 2022 Market Operations Highlights,Monthly Media Briefing for March 2022,30 March 2022 11:10,12 July 2024 04:08,March 2022 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/March%202022%20Market%20Operations%20Highlights.pdf,2022-03-01
2022,3513,April 2022 Market Operations Highlights,Monthly Media Briefing for April 2022,28 April 2022 03:53,12 July 2024 04:08,April 2022 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/April%202022%20Market%20Operations%20Highlights.pdf,2022-04-01
2022,3636,May 2022 Market Operations Highlights,Monthly Media Briefing for March 2022,30 May 2022 02:39,12 July 2024 04:08,MO Updates for Media_05302022_djs_ejdg_v2_.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_05302022_djs_ejdg_v2_.pdf,2022-05-01
2022,3771,June 2022 Market Operations Highlights,Monthly Media Briefing for June 2022,14 July 2022 08:00,12 July 2024 04:08,MO Updates for Media_June2022 Results.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_June2022%20Results.pdf,2022-06-01
2022,3848,July 2022 Market Operations Highlights,Monthly Media Briefing for August 2022,10 August 2022 01:00,12 July 2024 04:08,MO Updates for Media_July2022 Results.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_July2022%20Results.pdf,2022-07-01
2022,3970,August 2022 Market Operations Highlights,Monthly Media Briefing for September 2022,14 September 2022 12:00,12 July 2024 04:08,August 2022 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/August%202022%20Market%20Operations%20Highlights.pdf,2022-08-01
2022,4058,September 2022 Market Operations Highlights,Monthly Media Briefing for October 2022,18 October 2022 03:00,12 July 2024 04:08,MO Updates for Media_Sep2022 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_Sep2022%20Result.pdf,2022-09-01
2022,4138,October 2022 Market Operations Highlights,Media Briefing for November 2022,16 November 2022 01:30,12 July 2024 04:08,MO Updates for Media_Oct2022 Results.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_Oct2022%20Results.pdf,2022-10-01
2022,4228,November 2022 Market Operations Highlights,Media Briefing for December 2022,14 December 2022 01:30,12 July 2024 04:08,MO Updates for Media_Nov2022 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/MO%20Updates%20for%20Media_Nov2022%20Result.pdf,2022-11-01
2022,4585,December 2022 Market Operations Highlights,December 2022 Market Operations Highlights,16 December 2022 11:45,12 July 2024 04:08,December 2022 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2022-market-operations-highlights/December%202022%20Market%20Operations%20Highlights.pdf,2022-12-01
2023,4389,January 2023 Market Operations Highlights,Media Briefing for February 2023,10 February 2023 11:00,12 July 2024 04:08,MO Updates for Media_Jan2023_Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media_Jan2023_Result.pdf,2023-01-01
2023,4533,February 2023 Market Operations Highlights,Media Briefing for March 2023,15 March 2023 10:00,12 July 2024 04:08,MO Updates for Media Feb 2023 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media%20Feb%202023%20Result.pdf,2023-02-01
2023,4613,March 2023 Market Operations Highlights,Monthly Media Briefing in April 2023,25 April 2023 11:00,12 July 2024 04:08,MO Updates for Media - March 2023 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media%20-%20March%202023%20Result.pdf,2023-03-01
2023,4699,April 2023 Market Operations Highlights,Monthly Media Briefing in May 2023,24 May 2023 09:00,12 July 2024 04:08,MO Updates for Media April 2023 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media%20April%202023%20Result.pdf,2023-04-01
2023,4772,May 2023 Market Operations Highlights,Monthly Media Briefing in June 2023,15 June 2023 01:30,12 July 2024 04:08,MO Updates for Media_May 2023 Results.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media_May%202023%20Results.pdf,2023-05-01
2023,4864,June 2023 Market Operations Highlights,Monthly Media Briefing in July 2023,19 July 2023 10:45,12 July 2024 04:08,MO Updates for Media_June 2023 Results.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media_June%202023%20Results.pdf,2023-06-01
2023,4956,July 2023 Market Operations Highlights,Monthly Market Operations Highlights in August 2023,18 August 2023 01:30,12 July 2024 04:08,MO Updates for Media July 2023 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media%20July%202023%20Result.pdf,2023-07-01
2023,5031,August 2023 Market Operations Highlights,Monthly Media Briefing in September 2023,14 September 2023 01:30,12 July 2024 04:08,MO Updates for Media August 2023 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media%20August%202023%20Result.pdf,2023-08-01
2023,5174,September 2023 Market Operations Highlights,Monthly Market Operations Highlights for September 2023,27 October 2023 05:00,12 July 2024 04:08,MO Updates for Media Sept 2023 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media%20Sept%202023%20Result.pdf,2023-09-01
2023,5403,October 2023 Market Operations Highlights,Monthly Market Operations Highlights for October 2023,15 November 2023 10:00,12 July 2024 04:08,October 2023 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/October%202023%20Market%20Operations%20Highlights.pdf,2023-10-01
2023,5381,November 2023 Market Operations Highlights,Monthly Media Briefing in December 2023,14 December 2023 03:00,12 July 2024 04:08,MO Updates for Media November 2023 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media%20November%202023%20Result.pdf,2023-11-01
2023,5501,December 2023 Market Operations Highlights,Monthly Market Operations Highlights for December 2023,19 January 2024 01:30,12 July 2024 04:08,MO Updates for Media December 2023 Result.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2023-market-operations-highlights/MO%20Updates%20for%20Media%20December%202023%20Result.pdf,2023-12-01
2024,5518,January 2024 Market Operations Highlights,Monthly Market Operations Highlights report for January 2024,19 February 2024 01:30,12 July 2024 04:08,January 2024 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/January%202024%20Market%20Operations%20Highlights.pdf,2024-01-01
2024,5630,February 2024 to 24 March 2024 - Market Operations Highlights,Media Briefing in March 2024,26 March 2024 11:00,12 July 2024 04:08,February to 24 March 2024 - Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/February%20to%2024%20March%202024%20-%20Market%20Operations%20Highlights.pdf,2024-02-01
2024,5838,March 2024 Market Operations Highlights,Monthly Market Operations Highlights report for March 2024,15 April 2024 10:30,12 July 2024 04:08,MO Highlights - March 2024 Market results.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/MO%20Highlights%20-%20March%202024%20Market%20results.pdf,2024-03-01
2024,5847,April 2024 to 19 May 2024 - Market Operations Highlights,Media Briefing in May 2024,21 May 2024 11:45,12 July 2024 04:08,MO Highlights - April to May 19.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/MO%20Highlights%20-%20April%20to%20May%2019.pdf,2024-04-01
2024,6042,May 2024 Market Operations Highlights,Monthly Market Operations Highlights report for May 2024,17 June 2024 10:00,26 July 2024 03:18,May  2024 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/May%20%202024%20Market%20Operations%20Highlights.pdf,2024-05-01
2024,6043,June 2024 Market Operations Highlights,Monthly Market Operations Highlights report for June 2024,19 July 2024 10:00,26 July 2024 03:19,June 2024 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/June%202024%20Market%20Operations%20Highlights.pdf,2024-06-01
2024,6350,July 2024 - Market Operations Highlights,Monthly Market Operations Highlights report for July 2024,19 August 2024 08:00,06 November 2024 07:27,July 2024 - Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/July%202024%20-%20Market%20Operations%20Highlights.pdf,2024-07-01
2024,6351,August 2024 - Market Operations Highlights,Monthly Market Operations Highlights report for August 2024,18 September 2024 08:00,06 November 2024 07:28,August 2024 - Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/August%202024%20-%20Market%20Operations%20Highlights.pdf,2024-08-01
2024,6352,September 2024 - Market Operations Highlights,Monthly Market Operations Highlights report for September 2024,18 October 2024 07:00,06 November 2024 07:29,September 2024 - Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/September%202024%20-%20Market%20Operations%20Highlights.pdf,2024-09-01
2024,6342,October 2024 Market Operations Highlights,Media Briefing in November 2024,05 November 2024 01:15,05 November 2024 01:13,October 2024 - Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/October%202024%20-%20Market%20Operations%20Highlights.pdf,2024-10-01
2024,6485,November 2024 Market Operations Highlights,Media Briefing in December 2024,17 December 2024 01:30,18 December 2024 03:51,November 2024 - Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/November%202024%20-%20Market%20Operations%20Highlights.pdf,2024-11-01
2024,6748,December 2024 Market Operations Highlights,Monthly Market Operations Highlights report for December 2024,20 January 2025 08:30,11 February 2025 11:25,December 2024 - Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2024-market-operations-highlights/December%202024%20-%20Market%20Operations%20Highlights.pdf,2024-12-01
2025,7108,January 2025 Market Operations Highlights,Monthly Market Operations Highlights report for January 2025,17 February 2025 01:15,11 June 2025 09:53,IEMOP - January 2025 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20January%202025%20Market%20Operations%20Highlights.pdf,2025-01-01
2025,6856,February 2025 Market Operations Highlights,Monthly Market Operations Highlights report for February 2025,19 March 2025 01:30,19 March 2025 04:38,IEMOP - February 2025 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20February%202025%20Market%20Operations%20Highlights.pdf,2025-02-01
2025,6958,March 2025 Market Operations Highlights,Monthly Market Operations Highlights report for March 2025,22 April 2025 01:30,22 April 2025 02:25,IEMOP - March 2025 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20March%202025%20Market%20Operations%20Highlights.pdf,2025-03-01
2025,7007,April 2025 - Market Operations Highlights,Media Briefing in May 2025,06 May 2025 01:30,06 May 2025 04:04,IEMOP - April 2025 - Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20April%202025%20-%20Market%20Operations%20Highlights.pdf,2025-04-01
2025,7110,May 2025 Market Operations Highlights,Monthly Market Operations Highlights report for May 2025,11 June 2025 01:30,11 June 2025 03:11,IEMOP - May 2025 Market Operations Highlights (v2).pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20May%202025%20Market%20Operations%20Highlights%20%28v2%29.pdf,2025-05-01
2025,7176,June 2025 Market Operations Highlights,Media Briefing in July 2025,04 July 2025 11:15,04 July 2025 11:23,IEMOP - June 2025 Market Operations Highlights (v2).pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20June%202025%20Market%20Operations%20Highlights%20%28v2%29.pdf,2025-06-01
2025,7353,July 2025 Market Operations Highlights,Media Briefing in August 2025,07 August 2025 11:30,05 September 2025 04:22,IEMOP - July 2025 Market Operations Highlights v2.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20July%202025%20Market%20Operations%20Highlights%20v2.pdf,2025-07-01
2025,7352,August 2025 Market Operations Highlights,Media Briefing in September 2025,03 September 2025 11:45,05 September 2025 04:19,IEMOP - August 2025 Market Operations Highlights v2.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20August%202025%20Market%20Operations%20Highlights%20v2.pdf,2025-08-01
2025,7462,September 2025 Market Operations Highlights,Monthly Market Operations Highlights report for September 2025,10 October 2025 02:00,10 October 2025 01:56,IEMOP - September 2025 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20September%202025%20Market%20Operations%20Highlights.pdf,2025-09-01
2025,7552,October 2025 Market Operations Highlights,Media Briefing in November 2025,06 November 2025 11:30,12 November 2025 10:43,IEMOP - October 2025 Market Operations Highlights.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20October%202025%20Market%20Operations%20Highlights.pdf,2025-10-01
2025,7640,November 2025 Market Operations Highlights,Media Briefing in December 2025,11 December 2025 02:15,16 December 2025 10:20,IEMOP - November 2025 Market Operations Highlights v2.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20November%202025%20Market%20Operations%20Highlights%20v2.pdf,2025-11-01
2025,7727,December 2025 Market Operations Highlights,Monthly Market Operations Highlights report for December 2025,14 January 2026 01:15,14 January 2026 03:34,IEMOP - December 2025 Market Operations Highlights v2.pdf,https://www.iemop.ph/wp-content/uploads/downloads/reports/2025-market-operations-highlights/IEMOP%20-%20December%202025%20Market%20Operations%20Highlights%20v2.pdf,2025-12-01
